NAME1,NAME2,TYPE,ID
CIA. AGROINDUSTRIAL PALMERA S.A.,AGROINDUPALMA S.A.,C,12446
TAJCO,TAJCO LTD,C,12452
TAJCO,TAJCO SARL,C,12452
TAJCO,TAJCO COMPANY,C,12452
TAJCO,TAJCO COMPANY LLC,C,12452
TAJCO,TRADEX CO,C,12452
TAJCO,GRAND STORES (THE GAMBIA LOCATION ONLY),C,12452
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE AFRICA,C,12453
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE,C,12453
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE DISTRIBUTION,C,12453
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE FOOD INDUSTRIES,C,12453
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE HPC INDUSTRIES,C,12453
GOLFRATE HOLDINGS (ANGOLA) LDA,GOLFRATE PAINTS,C,12453
CONGO FUTUR,CONGO FUTURE,C,12454
CONGO FUTUR,GROUPE CONGO FUTUR,C,12454
CONGO FUTUR,CONGO FUTUR IMPORT,C,12454
KAIRABA SUPERMARKET,KAIRABA SHOPPING CENTER,C,12455
OVLAS TRADING S.A.,OVLAS TRADING S.A.L.,C,12456
GRUPO AROSFRAN EMPREENDIMENTOS E PARTICIPACOES SARL,GRUPO AROSFRAN,C,12457
GRUPO AROSFRAN EMPREENDIMENTOS E PARTICIPACOES SARL,GRUPO AROSFRAM,C,12457
GRUPO AROSFRAN EMPREENDIMENTOS E PARTICIPACOES SARL,AROSFRAN,C,12457
AFRI BELG COMMERCIO E INDUSTRIA LDA,AFRI BELG,C,12458
AFRI BELG COMMERCIO E INDUSTRIA LDA,AFRI-BELG,C,12458
AFRI BELG COMMERCIO E INDUSTRIA LDA,AFRI-BELG SUPERMERCADOS,C,12458
AFRI BELG COMMERCIO E INDUSTRIA LDA,CASH & CARRY RETAIL STORES,C,12458
AFRI BELG COMMERCIO E INDUSTRIA LDA,AFRI-BELG CONTRUCTION,C,12458
